idx,TreeNo,height,Date,Putative_spp,Latitude,Longitude,Altitude.ft,Multi.Single.stem,General.location.Habitat,site,log.BL,log.PL,log.BW,log.TLIW,log.TLL,log.TLDW,log.TEL,log.BLL,log.LLL,log.BSR,log.LSR,log.LLDW,log.LLIW,log.MidVeinD,log.BL_PL,Tufts,Lobe.number,classification,uncertainty
2,M-QR2,1.5,8-Oct,QR,35.166861,-93.666524,2534.22,M,Magazine Mountain top ridge,AR_Magazine,2.41496010584285,0.451812843085415,2.21543583406277,0.971516899327839,1.49282405409846,1.23612768219468,0.749325802727427,-0.721075502716867,1.24800508053336,0.273286620846707,1.93791687622705,0.826713301456435,1.05171763937473,1.39947994818032,2.54635303739183,0.333333333,7.333333333,3,0
5,M-QA2,2.5,8-Oct,QA,35.167141,-93.66647,2521.73,M,Magazine Mountain top ridge,AR_Magazine,2.42984045572904,0.813195853498566,2.27211062508362,1.24190092263063,0.652962402245147,0.902493177493975,-0.230919702360139,-0.0804060977750557,0.940427328843315,1.30299719915857,2.24789034558709,0.960640664982284,1.34910266595669,1.68412316221674,2.61096449899062,0.666666667,7,3,1.47613622492049E-06
6,M-QA3,2.5,8-Oct,QA,35.167208,-93.666417,2503.1,M,Magazine Mountain top ridge,AR_Magazine,2.7233390612366,1.33985230489846,2.57722688613265,1.88741510026632,1.37219330818843,1.964268736749,0.576863590298229,-0.0868446483441684,1.56129560426065,1.1072551803766,2.52833888985132,1.45389238906473,1.80734433665282,2.13565529472519,2.94704476431536,0.666666667,6,1,1.42564848815141E-10
7,M-QA4,3,8-Oct,QA,35.167208,-93.666417,2503.1,M,Magazine Mountain top ridge,AR_Magazine,2.45877811068593,0.678296699491683,2.18133902385301,1.47861416921622,1.01937191181888,1.26874003133957,0.17814390253568,-0.595116083991077,0.928578216583018,1.02023839732901,2.26939095021809,0.709606505144764,1.19865289597366,1.7486058888812,2.61454775023757,0,8.333333333,3,8.35135571808365E-09
8,M-QA5,2.2,8-Oct,QA,35.167193,-93.666428,2497.65,M,Magazine Mountain top ridge,AR_Magazine,2.52328184613754,0.675472514846682,2.43466014592052,1.7225347496164,1.44552850137063,1.82147193652336,0.509458346868797,0.0581453769094038,1.40934292739667,0.821479164342068,2.1894513518362,1.0429509302695,1.41032231702128,1.83894455451872,2.66961519157631,0,7,3,4.2632564145606E-14
9,M-QA6,1.7,8-Oct,QA,35.16698,-93.666408,2518.1,M,Magazine Mountain top ridge,AR_Magazine,2.39444365645469,0.672885940406964,2.23925411991676,1.40303714175831,1.12497131234915,1.26329855012095,0.198426282559878,0.370280819594486,1.16599276200621,1.09426676186152,2.09954375326283,1.0334891675297,1.25129416433047,1.64012392205126,2.55892996490604,1,7,3,7.16320115001778E-07
10,M-QA7,1.7,8-Oct,QA,35.16696,-93.666238,2518.1,M,Magazine Mountain top ridge,AR_Magazine,2.33292831080221,0.849505649854036,2.24133565884803,1.29799187755621,1.27142912756703,1.23991503817267,-0.120751652768146,0.323300548843326,1.30954028901419,0.807572577651526,1.92061744581084,1.24097141890739,1.16069209276168,1.54782215585584,2.53738628361323,0.666666667,6,1,1.96551437505743E-05
11,M-QA8,NA,8-Oct,QA,35.167003,-93.666231,2535.09,M,Magazine Mountain top ridge,AR_Magazine,2.30400753284663,0.953067560017849,2.33894834479813,1.27479593195181,1.21475835915372,1.39086255849956,0.142521946578765,0.160697530356982,1.31161416824065,1.11808287424323,2.00191542404805,1.2607839187811,1.41675115179668,1.74252723203374,2.53432266410411,0.333333333,6.333333333,2,0.0131418749351863
12,M-QA9,1.8,8-Oct,QA,35.167146,-93.666138,2530.5,M,Magazine Mountain top ridge,AR_Magazine,2.22634846138996,0.994911808462758,2.3618690555872,1.2607138426435,1.22433022357895,1.43458212625091,0.0327543696138882,0.959493143304679,1.3145276364139,1.23028154734689,1.80254788641251,1.32569999476763,1.14418527501229,1.69694677420765,2.48244153054336,0.333333333,6.333333333,2,0.0802589699509123
15,M-QA12,3.5,8-Oct,QA,35.167155,-93.665841,2348.47,M,Magazine Mountain top ridge,AR_Magazine,2.2263747579156,0.693943634806042,2.07934160118595,1.00458982443542,0.97339117005577,1.11512625148528,-0.146781997705197,0.217022396009783,1.23692660663904,0.817988341389152,1.89090361271912,0.870342509420094,1.12914034821246,1.51368350205398,2.42194966758039,0.666666667,6.666666667,3,0.0352560278174491
