filename,style,year
pietro-perugino_christ-in-the-sarcophagus-1473.jpg,Early_Renaissance,1473
fra-angelico_st-stephen-being-led-to-his-martyrdom-1449.jpg,Early_Renaissance,1449
andrea-mantegna_the-battle-of-sea-gods-1480.jpg,Early_Renaissance,1480
benozzo-gozzoli_upper-portions-of-the-east-window-wall-1465.jpg,Early_Renaissance,1465
filippo-lippi_annunciation-1445.jpg,Early_Renaissance,1445
giovanni-bellini_the-san-giobbe-altarpiece-detail-of-music-making-angels-1480.jpg,Early_Renaissance,1480
andrea-del-verrocchio_giuliano-de-medici-1478.jpg,Early_Renaissance,1478
fra-angelico_adoration-of-the-magi-1424.jpg,Early_Renaissance,1424
carlo-crivelli_triptych-of-camerino-1482.jpg,Early_Renaissance,1482
domenico-ghirlandaio_the-annunciation-1490.jpg,Early_Renaissance,1490
fra-angelico_circumcision-1452.jpg,Early_Renaissance,1452
domenico-ghirlandaio_the-adoration-of-the-magi-1487.jpg,Early_Renaissance,1487
pietro-perugino_madonna-with-children-and-st-john-1485.jpg,Early_Renaissance,1485
andrea-mantegna_horse-and-groom-with-hunting-dogs-from-the-camera-degli-sposi-or-camera-picta-detail-1474.jpg,Early_Renaissance,1474
filippo-lippi_nativity-1469.jpg,Early_Renaissance,1469
donatello_judith-and-holofernes-1460.jpg,Early_Renaissance,1460
masaccio_st-juvenal-triptych-1422.jpg,Early_Renaissance,1422
pisanello_hanged-men-and-two-portraits-1430.jpg,Early_Renaissance,1430
andrea-mantegna_maria-with-the-sleeping-child-1455.jpg,Early_Renaissance,1455
fra-angelico_the-sermon-of-st-stephen-1449.jpg,Early_Renaissance,1449
masaccio_crucifixion-of-st-peter-1426.jpg,Early_Renaissance,1426
andrea-mantegna_calvary-central-predella-panel-from-the-st-zeno-of-verona-altarpiece-1459.jpg,Early_Renaissance,1459
donatello_david-1432.jpg,Early_Renaissance,1432
jacopo-bellini_madonna-and-child-1448.jpg,Early_Renaissance,1448
domenico-ghirlandaio_confirmation-of-the-rule-1485.jpg,Early_Renaissance,1485
fra-angelico_the-virgin-of-humility-1445.jpg,Early_Renaissance,1445
filippo-lippi_coronation-of-the-virgin-1445.jpg,Early_Renaissance,1445
benozzo-gozzoli_procession-of-the-magus-melchior-detail-1461.jpg,Early_Renaissance,1461
carlo-crivelli_enthroned-madonna-saint-jerome-and-st-sebastian-1490.jpg,Early_Renaissance,1490
fra-angelico_st-peter-martyr-1442.jpg,Early_Renaissance,1442
domenico-ghirlandaio_preaching-of-st-john-the-baptist-1490.jpg,Early_Renaissance,1490
domenico-ghirlandaio_st-dominic-burning-heretical-writings-1490.jpg,Early_Renaissance,1490
andrea-mantegna_lamentation-over-the-dead-christ-1450.jpg,Early_Renaissance,1450
pisanello_study-of-a-head-1436.jpg,Early_Renaissance,1436
filippo-lippi_annunciation-1450.jpg,Early_Renaissance,1450
benozzo-gozzoli_the-parable-of-the-holy-trinity-and-the-visit-to-the-monks-of-mount-pisano-1465.jpg,Early_Renaissance,1465
fra-angelico_the-coronation-of-the-virgin-1441.jpg,Early_Renaissance,1441
fra-angelico_apparition-of-st-francis-at-arles-1429.jpg,Early_Renaissance,1429
pietro-perugino_christ-handing-the-keys-to-st-peter-1482.jpg,Early_Renaissance,1482
fra-angelico_scenes-from-the-lives-of-sts-lawrence-and-stephen-1449.jpg,Early_Renaissance,1449
benozzo-gozzoli_st-nicholas-of-bari-1465.jpg,Early_Renaissance,1465
domenico-ghirlandaio_angel-appearing-to-zacharias-1490.jpg,Early_Renaissance,1490
filippo-lippi_portrait-of-a-woman-1440.jpg,Early_Renaissance,1440
pietro-perugino_journey-of-moses-and-circumcision-of-her-second-child-1483.jpg,Early_Renaissance,1483
andrea-mantegna_the-flagellation-of-christ-in-the-pavement-1475.jpg,Early_Renaissance,1475
benozzo-gozzoli_procession-of-the-magi-1461.jpg,Early_Renaissance,1461
fra-angelico_st-peter-martyr-1440.jpg,Early_Renaissance,1440
jacopo-bellini_triptych-of-the-virgin-1470.jpg,Early_Renaissance,1470
filippo-lippi_coronation-of-the-virgin-1447.jpg,Early_Renaissance,1447
domenico-ghirlandaio_the-death-of-st-francis-1485.jpg,Early_Renaissance,1485
benozzo-gozzoli_view-of-the-main-apsidal-chapel-1452.jpg,Early_Renaissance,1452
carlo-crivelli_two-apostles-1475.jpg,Early_Renaissance,1475
fra-angelico_the-story-of-st-nicholas-1448.jpg,Early_Renaissance,1448
pietro-perugino_madonna-with-child-1473.jpg,Early_Renaissance,1473
andrea-mantegna_bacchanalia-with-a-wine-1480.jpg,Early_Renaissance,1480
fra-angelico_perugia-altarpiece-central-panel-1448.jpg,Early_Renaissance,1448
fra-angelico_the-story-of-st-nicholas-st-nicholas-saves-the-ship-1448.jpg,Early_Renaissance,1448
luca-signorelli_the-apostles-peter-and-john-the-evangelist-1482.jpg,Early_Renaissance,1482
domenico-ghirlandaio_vaulting-of-the-tornabuoni-chapel-1490.jpg,Early_Renaissance,1490
domenico-ghirlandaio_the-miracle-of-a-child-1486.jpg,Early_Renaissance,1486
antonello-da-messina_portrait-of-a-man-trivulzio-portrait-1476.jpg,Early_Renaissance,1476
domenico-ghirlandaio_christ-in-glory-with-st-benedict-c-480-547-st-romuald-c-952-1027-st-attinia-st-grecinia-and-the-1492.jpg,Early_Renaissance,1492
antonello-da-messina_san-cassiano-altarpiece-1476.jpg,Early_Renaissance,1476
masaccio_st-peter-healing-the-sick-with-his-shadow-1425.jpg,Early_Renaissance,1425
bartolome-bermejo_death-of-the-virgin-1462.jpg,Early_Renaissance,1462
masaccio_st-paul-1426.jpg,Early_Renaissance,1426
benozzo-gozzoli_angels-worshipping-1461.jpg,Early_Renaissance,1461
andrea-mantegna_the-holy-family-painting-on-wood-1455.jpg,Early_Renaissance,1455
bartolome-bermejo_resurrection-and-descent-of-christ-to-limbo-1480.jpg,Early_Renaissance,1480
domenico-ghirlandaio_expulsion-of-joachim-1490.jpg,Early_Renaissance,1490
andrea-mantegna_the-virgin-and-child-with-saint-jerome-and-louis-of-toulouse-1455.jpg,Early_Renaissance,1455
giovanni-bellini_presentation-at-the-temple-1464.jpg,Early_Renaissance,1464
benozzo-gozzoli_angels-worshipping-detail-1461.jpg,Early_Renaissance,1461
fra-angelico_san-domenico-altarpiece-1430.jpg,Early_Renaissance,1430
antonello-da-messina_ecce-homo-1474.jpg,Early_Renaissance,1474
masaccio_not_detected_199406-1428.jpg,Early_Renaissance,1428
andrea-del-verrocchio_david-1475.jpg,Early_Renaissance,1475
antonello-da-messina_crusifixion-1475.jpg,Early_Renaissance,1475
fra-angelico_annunciation-1452.jpg,Early_Renaissance,1452
carlo-crivelli_saint-james-of-the-marches-with-two-kneeling-donor-1477.jpg,Early_Renaissance,1477
pietro-perugino_madonna-enthroned-with-saints-catherine-and-rose-of-alexandria-and-two-angels-1492.jpg,Early_Renaissance,1492
fra-angelico_st-stephen-distributing-alms-1449.jpg,Early_Renaissance,1449
paolo-uccello_the-adoration-of-the-child-1463.jpg,Early_Renaissance,1463
carlo-crivelli_lamentation-of-christ-1473.jpg,Early_Renaissance,1473
fra-angelico_christ-in-limbo-1442.jpg,Early_Renaissance,1442
benozzo-gozzoli_scenes-with-st-ambrose-detail-1465.jpg,Early_Renaissance,1465
domenico-ghirlandaio_adoration-of-the-shepherds-1485.jpg,Early_Renaissance,1485
giovanni-bellini_madonna-with-blessing-child-1480.jpg,Early_Renaissance,1480
domenico-ghirlandaio_adoration-of-the-magi-1490.jpg,Early_Renaissance,1490
domenico-veneziano_madonna-and-child-1437.jpg,Early_Renaissance,1437
antonello-da-messina_ecce-homo-1470.jpg,Early_Renaissance,1470
pietro-perugino_baptism-of-christ-1483.jpg,Early_Renaissance,1483
masaccio_the-tribute-money-1425.jpg,Early_Renaissance,1425
fra-angelico_annunciation-1442.jpg,Early_Renaissance,1442
antonello-da-messina_annunciation-1474.jpg,Early_Renaissance,1474
